id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591323;;ch:1:sloid:91323;Zürich, Rosengartenstrasse;;;;;;8.525464;47.394328;0;EPSG:4326;2682051;1249846;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904035;304
8591325;;ch:1:sloid:91325;Zürich, Roswiesen;;;;;;8.576980;47.402953;0;EPSG:4326;2685926;1250860;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904044;305
8591326;;ch:1:sloid:91326;Zürich, Rotbuchstrasse;;;;;;8.536118;47.391277;0;EPSG:4326;2682860;1249518;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904048;306
8591327;;ch:1:sloid:91327;Zürich, Rudolf-Brun-Brücke;;;;;;8.542937;47.373949;0;EPSG:4326;2683402;1247599;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904053;307
8591328;;ch:1:sloid:91328;Zürich, Rütihof;;;;;;8.477314;47.413453;0;EPSG:4326;2678388;1251923;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904066;308
8591330;;ch:1:sloid:91330;Zürich, Saatlenstrasse;;;;;;8.562863;47.410809;0;EPSG:4326;2684848;1251718;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904075;309
8591331;;ch:1:sloid:91331;Zürich, Sackzelg;;;;;;8.495515;47.374385;0;EPSG:4326;2679820;1247598;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904079;310
8591332;;ch:1:sloid:91332;Zürich, Salersteig;;;;;;8.548480;47.406082;0;EPSG:4326;2683770;1251177;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904084;311
8591333;;ch:1:sloid:91333;Zürich, Salzweg;;;;;;8.471766;47.387705;0;EPSG:4326;2678007;1249055;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904088;312
8591334;;ch:1:sloid:91334;Zürich, SBB-Werkstätte;;;;;;8.503372;47.386564;0;EPSG:4326;2680395;1248960;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904092;313
